id;nome_municipio;populacao
745; 'Chorozinho';2303956
746; 'Coreaú;2304004
747; 'Crateús;2304103
748; 'Crato';2304202
749; 'Croatá;2304236
750; 'Cruz';2304251
751; 'Deputado Irapuan Pinheiro';2304269
752; 'Ererê;2304277
753; 'Eusébio;2304285
754; 'Farias Brito';2304301
755; 'Forquilha';2304350
756; 'Fortaleza';2304400
757; 'Fortim';2304459
758; 'Frecheirinha';2304509
759; 'General Sampaio';2304608
760; 'Graça;2304657
761; 'Granja';2304707
762; 'Granjeiro';2304806
763; 'Groaíras;2304905
764; 'Guaiúba;2304954
765; 'Guaraciaba do Norte';2305001
766; 'Guaramiranga';2305100
767; 'Hidrolândia;2305209
768; 'Horizonte';2305233
769; 'Ibaretama';2305266
770; 'Ibiapina';2305308
771; 'Ibicuitinga';2305332
772; 'Icapuí;2305357
773; 'Icó;2305407
774; 'Iguatu';2305506
775; 'Independência;2305605
776; 'Ipaporanga';2305654
777; 'Ipaumirim';2305704
778; 'Ipu';2305803
779; 'Ipueiras';2305902
780; 'Iracema';2306009
781; 'Irauçuba;2306108
782; 'Itaiçaba;2306207
783; 'Itaitinga';2306256
784; 'Itapagé;2306306
785; 'Itapipoca';2306405
786; 'Itapiúna;2306504
787; 'Itarema';2306553
788; 'Itatira';2306603
789; 'Jaguaretama';2306702
790; 'Jaguaribara';2306801
791; 'Jaguaribe';2306900
792; 'Jaguaruana';2307007
793; 'Jardim';2307106
794; 'Jati';2307205
795; 'Jijoca de Jericoacoara';2307254
796; 'Juazeiro do Norte';2307304
797; 'Jucás;2307403
798; 'Lavras da Mangabeira';2307502
799; 'Limoeiro do Norte';2307601
800; 'Madalena';2307635
801; 'Maracanaú;2307650
802; 'Maranguape';2307700
803; 'Marco';2307809
804; 'Martinópole;2307908
805; 'Massapê;2308005
806; 'Mauriti';2308104
807; 'Meruoca';2308203
808; 'Milagres';2308302
809; 'Milhã;2308351
810; 'Miraíma;2308377
811; 'Missão Velha;2308401
812; 'Mombaça;2308500
813; 'Monsenhor Tabosa';2308609
814; 'Morada Nova';2308708
